project_id,city,area_sqm,project_type,total_price,materials_cost,labor_cost,vat_amount,margin_percentage,completion_date,actual_duration_days,customer_rating,accepted
BTH_20250101_001,marseille,4.0,standard_renovation,3200.50,1100.00,1400.00,320.05,0.20,2025-01-15,5,4.2,true
BTH_20250105_002,paris,5.5,luxury_renovation,5800.75,2200.00,2600.00,580.08,0.25,2025-01-20,7,4.8,true
BTH_20250110_003,lyon,3.8,budget_renovation,2400.30,900.00,1000.00,240.03,0.15,2025-01-25,4,3.9,true
BTH_20250115_004,toulouse,4.2,standard_renovation,3100.45,1050.00,1350.00,310.05,0.18,2025-01-30,5,4.1,true
BTH_20250120_005,nice,6.0,luxury_renovation,6200.80,2400.00,2800.00,620.08,0.25,2025-02-05,8,4.7,true
BTH_20250125_006,marseille,3.5,budget_renovation,2200.25,800.00,950.00,220.03,0.15,2025-02-10,4,4.0,true
BTH_20250130_007,paris,4.8,standard_renovation,4800.60,1600.00,2200.00,480.06,0.22,2025-02-15,6,4.3,false
BTH_20250205_008,bordeaux,4.5,standard_renovation,3400.55,1200.00,1500.00,340.06,0.20,2025-02-20,5,4.4,true
BTH_20250210_009,nantes,4.0,budget_renovation,2800.35,1000.00,1200.00,280.04,0.16,2025-02-25,4,3.8,true
BTH_20250215_010,strasbourg,5.2,luxury_renovation,5400.70,2000.00,2500.00,540.07,0.24,2025-03-01,7,4.6,true
BTH_20250220_011,lille,3.9,standard_renovation,3000.40,1100.00,1300.00,300.04,0.19,2025-03-05,5,4.2,true
BTH_20250225_012,montpellier,4.3,budget_renovation,2600.32,950.00,1100.00,260.03,0.15,2025-03-10,4,3.7,false
BTH_20250301_013,reims,4.1,standard_renovation,2900.38,1000.00,1250.00,290.04,0.18,2025-03-15,5,4.1,true
BTH_20250305_014,marseille,7.0,luxury_renovation,6800.85,2600.00,3200.00,680.09,0.26,2025-03-20,9,4.9,true
BTH_20250310_015,paris,3.2,budget_renovation,3500.42,1200.00,1600.00,350.04,0.17,2025-03-25,4,3.6,false
BTH_20250315_016,lyon,4.6,standard_renovation,3600.48,1300.00,1600.00,360.05,0.20,2025-03-30,6,4.3,true
BTH_20250320_017,toulouse,5.1,luxury_renovation,5200.65,1950.00,2350.00,520.07,0.23,2025-04-05,7,4.5,true
BTH_20250325_018,nice,4.4,standard_renovation,4200.54,1450.00,1950.00,420.05,0.21,2025-04-10,6,4.4,true
BTH_20250330_019,bordeaux,3.7,budget_renovation,2500.28,900.00,1050.00,250.03,0.15,2025-04-15,4,3.9,true
BTH_20250405_020,nantes,4.9,standard_renovation,3300.44,1150.00,1450.00,330.04,0.19,2025-04-20,5,4.2,true
BTH_20250410_021,marseille,5.8,luxury_renovation,5800.72,2100.00,2700.00,580.07,0.24,2025-04-25,8,4.7,true
BTH_20250415_022,paris,4.1,standard_renovation,4100.52,1400.00,1900.00,410.05,0.20,2025-04-30,6,4.1,false
BTH_20250420_023,lyon,3.6,budget_renovation,2400.29,850.00,1000.00,240.03,0.15,2025-05-05,4,3.8,true
BTH_20250425_024,toulouse,4.7,standard_renovation,3500.46,1250.00,1550.00,350.05,0.19,2025-05-10,5,4.3,true
BTH_20250430_025,nice,5.3,luxury_renovation,5600.70,2050.00,2550.00,560.07,0.25,2025-05-15,7,4.6,true
